Scrip Code,COMPANY,ISIN No.,Close Price
513599,HINDUSTAN COPPER LTD.,INE531E01026,483.35
500104,HINDUSTAN PETROLEUM CORPORATIO,INE094A01015,381.25
500696,HINDUSTAN UNILEVER LTD.,INE030A01027,2144.75
500188,HINDUSTAN ZINC LTD.,INE267A01025,531.95
543187,HITACHI ENERGY INDIA LIMITED,INE07Y701011,31069.5
543259,Home First Finance Company Ind,INE481N01025,1173.75
544014,Honasa Consumer Limited,INE0J5401028,448.9
517174,HONEYWELL AUTOMATION INDIA LTD,INE671A01010,37481.05
540530,Housing &Urban Development Cor,INE031A01017,195.75
544274,HYUNDAI MOTOR INDIA LIMITED,INE0V6F01027,1953.2
532174,ICICI BANK LTD.,INE090A01021,1433.15
540716,ICICI Lombard General Insuranc,INE765G01017,1661.5
544658,ICICI Prudential Asset Managem,INE346A01027,3125.9
540133,ICICI Prudential Life Insuranc,INE726G01019,500.3
500116,IDBI BANK LTD.,INE008A01015,84.96
539437,IDFC FIRST BANK LIMITED,INE092T01019,80.83
500106,IFCI LTD.,INE039A01010,70.15
532636,IIFL FINANCE LIMITED,INE530B01024,557.1
544172,Indegene Limited,INE065X01017,492.75
530005,INDIA CEMENTS LTD.,INE383A01012,407.6
542726,IndiaMART InterMESH Limited,INE933S01016,1757.85
532814,INDIAN BANK,INE562A01011,826.4
540750,Indian Energy Exchange Limited,INE022Q01020,124.25
530965,INDIAN OIL CORPORATION LTD.,INE242A01010,138.5
532388,INDIAN OVERSEAS BANK,INE565A01014,33.86
542830,Indian Railway Catering and To,INE335Y01020,495.2
543257,Indian Railway Finance Corpora,INE053F01010,87.62
544026,Indian Renewable Energy Develo,INE202E01016,120.5
532514,INDRAPRASTHA GAS LTD.,INE203G01027,149.3
534816,INDUS TOWERS LIMITED,INE121J01017,394.4
532187,INDUSIND BANK LTD.,INE095A01012,995.95
532777,INFO EDGE (INDIA) LTD.,INE663F01032,1165.1
500209,INFOSYS LTD.,INE009A01021,1040.95
539083,Inox Wind Limited,INE066P01011,76.93
538835,INTELLECT DESIGN ARENA LIMITED,INE306R01017,732.8
539448,InterGlobe Aviation Limited,INE646L01027,4984.95
544311,International Gemological Inst,INE0Q9301021,338.75
544309,INVENTURUS KNOWLEDGE SOLUTIONS,INE115Q01022,1760.6
524494,IPCA LABORATORIES LTD.,INE571A01038,1762.7
532947,IRB INFRASTRUCTURE DEVELOPERS,INE821I01022,19.62
541956,IRCON International Ltd,INE962Y01021,126.1
544325,ITC Hotels Limited,INE379A01028,159.9
500875,ITC LTD.,INE154A01025,283.6
532644,J.K.CEMENT LTD.,INE823G01014,5653.3
532627,JAIPRAKASH POWER VENTURES LIMI,INE351F01018,16.96
532209,JAMMU & KASHMIR BANK LTD.,INE168A01041,172.7
532605,JBM AUTO LTD.,INE927D01051,656.35
500378,JINDAL SAW LTD.,INE324A01032,255.5
532508,JINDAL STAINLESS LTD.,INE220G01021,714.55
532286,JINDAL STEEL LIMITED,INE749A01030,1035.95
543940,Jio Financial Services Limited,INE758E01017,234.75
500380,JK LAKSHMI CEMENT LTD.,INE786A01032,572.15
523405,JM FINANCIAL LTD.,INE780C01023,122.05
544480,JSW CEMENT LIMITED,INE718I01012,132
500710,JSW Dulux Limited,INE133A01011,2937.65
533148,JSW ENERGY LTD,INE121E01018,551.9
532642,JSW HOLDINGS LIMITED,INE824G01012,10857.2
543994,JSW Infrastructure Limited,INE880J01026,322.4
500228,JSW STEEL LTD.,INE019A01038,1240.65
533155,JUBILANT FOODWORKS LTD,INE797F01020,418.4
543271,Jubilant Ingrevia Limited,INE0BY001018,725.5
530019,JUBILANT PHARMOVA LIMITED,INE700A01033,962
533272,JUPITER WAGONS LIMITED,INE209L01016,246.7
532926,JYOTHY LABS LIMITED,INE668F01031,198.6
544081,Jyoti CNC Automation Limited,INE980O01024,796.2
532889,K.P.R.MILL LIMITED,INE930H01031,1061.95
500233,KAJARIA CERAMICS LTD.,INE217B01036,1212.65
522287,KALPATARU PROJECTS INTERNATION,INE220B01022,1303.65
543278,Kalyan Jewellers India Limited,INE303R01014,573.1
500165,KANSAI NEROLAC PAINTS LTD.,INE531A01024,193.1
543664,KAYNES TECHNOLOGY INDIA LIMITE,INE918Z01012,3176.1
532714,KEC INTERNATIONAL LTD.,INE389H01022,470.9
517569,KEI INDUSTRIES LTD.,INE878B01027,4869.6
543720,KFin Technologies Limited,INE138Y01010,858
500241,KIRLOSKAR BROTHERS LTD.,INE732A01036,1834.5
533293,KIRLOSKAR OIL ENGINES LTD.,INE146L01010,2181.55
500247,KOTAK MAHINDRA BANK LTD.,INE237A01036,384.7
542651,KPIT Technologies Ltd,INE04I401011,583
543308,Krishna Institute of Medical S,INE967H01025,797.25
533519,L&T Finance Limited,INE498L01015,302.4
540115,L&T Technology Services Limite,INE010V01017,3417.9
500510,LARSEN & TOUBRO LTD.,INE018A01030,3785.25
543398,Latent View Analytics Limited,INE0I7C01011,295.95
540222,Laurus Labs Limited,INE947Q01028,1602.3
544408,Leela Palaces Hotels & Resorts,INE0AQ201015,474.3
541233,Lemon Tree Hotels Limited,INE970X01018,109.25
544600,Lenskart Solutions Limited,INE956O01016,555.8
544576,LG Electronics India Limited,INE324D01010,1525.25
500253,LIC HOUSING FINANCE LTD.,INE115A01026,538.9
543526,LIFE INSURANCE CORPORATION OF,INE0J1Y01017,421.35
523457,Linde India Limited,INE473A01011,6735.4
512455,LLOYDS METALS AND ENERGY LTD.,INE281B01032,1939.55
543287,Lodha Developers Limited,INE670K01029,1144.4
532783,LT FOODS LTD.,INE818H01020,375.5
540005,LTM LIMITED,INE214T01019,4094.7
500257,LUPIN LTD.,INE326A01037,2369.45
539957,Mahanagar Gas Limited,INE002S01010,1075.9
500265,MAHARASHTRA SEAMLESS LTD.,INE271B01025,571.65
532720,MAHINDRA & MAHINDRA FINANCIAL,INE774D01024,356.45
500520,MAHINDRA & MAHINDRA LTD.,INE101A01026,3161
531213,Manappuram Finance Ltd,INE522D01027,352.85
500109,MANGALORE REFINERY & PETROCHEM,INE103A01014,169.7
543904,Mankind Pharma Limited,INE634S01028,2505.4
531642,MARICO LTD.,INE196A01026,855.8
532500,MARUTI SUZUKI INDIA LTD.,INE585B01010,13448.4
500271,Max Financial Services Limited,INE180A01020,1516.65
543220,Max Healthcare Institute Limit,INE027H01010,1081.5
543237,Mazagon Dock Shipbuilders Limi,INE249Z01020,2294.65
543427,Medplus Health Services Limite,INE804L01022,720.9
544632,Meesho Limited,INE0VDM01015,185.25
538962,Minda Corporation Limited,INE842C01021,676.2
543498,Motherson Sumi Wiring India Li,INE0FS801015,40.09
532892,MOTILAL OSWAL FINANCIAL SERVIC,INE338I01027,870.55
526299,MPHASIS LTD.,INE356A01018,2289.3
500290,MRF LTD.,INE883A01011,130754.45
534091,MULTI COMMODITY EXCHANGE OF IN,INE745G01043,2729.6
533398,MUTHOOT FINANCE LTD.,INE414G01012,2986.1
539551,Narayana Hrudayalaya Limited,INE410P01011,1962.15
524816,NATCO PHARMA LTD.,INE987B01026,920.8
532234,NATIONAL ALUMINIUM CO.LTD.,INE139A01034,343.95
544467,National Securities Depository,INE301O01023,810.05
513023,NAVA LIMITED,INE725A01030,554.6
532504,NAVIN FLUORINE INTERNATIONAL L,INE048G01026,7525.25
534309,NBCC (India) Limited,INE095N01031,93.85
500294,NCC LIMITED,INE868B01028,136.95
500790,NESTLE INDIA LTD.,INE239A01024,1443.7
543945,NETWEB TECHNOLOGIES INDIA LIMI,INE0NT901020,4154.85
524558,NEULAND LABORATORIES LTD.,INE794A01010,18570.85
540900,Newgen Software Technologies L,INE619B01017,505.65
533098,NHPC LTD.,INE848E01016,79.4
540767,NIPPON LIFE INDIA ASSET MANAGE,INE298J01013,1112.65
513683,NLC India Limited,INE589A01014,292.95
526371,NMDC LTD.,INE584A01023,83.57
543768,NMDC Steel Limited,INE0NNS01018,41.4
544289,NTPC GREEN ENERGY LIMITED,INE0ONG01011,96.29
532555,NTPC LTD.,INE733E01010,347.15
543988,Nuvama Wealth Management Limit,INE531F01023,1979.8
543334,Nuvoco Vistas Corporation Limi,INE118D01016,355.7
533273,OBEROI REALTY LTD.,INE093I01010,1820.1
500312,OIL AND NATURAL GAS CORPORATIO,INE213A01029,248.75
533106,OIL INDIA LTD.,INE274J01014,450
544225,Ola Electric Mobility Limited,INE0LXG01040,37.07
532439,OLECTRA GREENTECH LIMITED,INE260D01016,1334.25
543396,One 97 Communications Limited,INE982J01020,1284
