isin,company_id,name,eps,roce,roe
INE010J01012,1274086,Tejas Networks,-51.71,-14.64,-0.268
INE269A01021,3127,Sonata Software,17.48,30.67,0.25724
INE176A01028,408,Bata India,10.44,12.74,0.08465999
INE763I01026,3458,T R I L,8.63,23.30,0.191
INE868B01028,2221,NCC,10.76,16.80,0.093219995
INE970X01018,1274323,Lemon Tree Hotel,2.87,13.95,0.14905
INE836A01035,1826,Birlasoft Ltd,20.41,21.15,0.141
INE743M01012,2357,RHI Magnesita,-18.55,6.52,-0.10132
INE619B01017,1274251,Newgen Software,22.17,25.01,0.196
INE517B01013,3374,Tata Tele. Mah.,0.19,55.65,
INE227W01023,1274890,Clean Science,21.58,20.64,0.15309
INE647O01011,486604,Aditya Bir. Fas.,-6.38,-3.07,-0.12693
INE0I7C01011,1275098,Latent View,9.55,15.85,0.12173
INE0BV301023,1275122,C.E. Info System,24.46,19.13,0.15619999
INE806T01020,1275097,Sapphire Foods,-0.48,3.98,-0.0103
INE105A01035,3252,TVS Holdings,974.16,16.95,0.306
INE179A01014,2579,P & G Hygiene,243.21,157.48,1.15
INE844O01030,1273048,Gujarat Energy,0.33,18.49,0.12267999
INE536A01023,1211,Grindwell Norton,39.86,21.18,0.162
INE0BWX01014,1275232,Aether Industri.,17.71,11.92,0.0966
INE301O01023,1285576,N S D L,19.59,23.22,
INE531A01024,1715,Kansai Nerolac,7.28,11.99,0.08796
INE732A01036,1788,Kirl. Brothers,47.13,20.35,0.17300000000000001
INE824G01012,1625,JSW Holdings,131.71,0.59,0.0046
INE850D01014,1274176,Godrej Agrovet,24.55,19.16,0.18681
INE825V01034,1275168,Vedant Fashions,15.88,23.55,0.267
INE183A01024,1023,Finolex Inds.,9.69,12.71,0.09731
INE069I01010,1434,Embassy Develop,-6.43,-2.38,-0.090459995
INE804L01022,1275123,Medplus Health,17.27,12.56,0.11599999999999999
INE739E01017,614,Cera Sanitary.,158.66,19.25,0.14467
INE0LMW01024,1284546,Cello World,14.69,17.41,0.12976
INE271B01025,1968,Mah. Seamless,52.33,14.29,0.106079996
INE113A01013,1244,G N F C,54.96,12.03,0.091350004
INE668F01031,1667,Jyothy Labs,8.89,28.66,0.22428
INE027A01015,2684,R C F,7.75,10.23,0.08665
INE786A01032,1633,JK Lakshmi Cem.,33.2,12.00,0.11098
INE026A01025,1253,G S F C,16.88,7.16,0.0551
INE270A01029,142,Alok Industries,-1.43,-3.95,
